age,annual_income,employment_years,monthly_expenses,savings_balance,credit_score,active_loans,delayed_payments,total_debt,loan_amount,loan_purpose,residence_type,dependents,debt_to_income,loan_to_income,expense_to_income,savings_to_loan_ratio,target_risk_class
47,42942,29,897,9423,821,2,0,100740,90716,Home,Rented,1,2.3459003795729223,2.1124746757329484,0.25065784877628483,0.10387248255564006,High Risk
56,171087,36,4843,53161,625,1,1,50920,372209,Auto,Mortgaged,3,0.29762461423361075,2.1755412419339755,0.33968484054989245,0.1428252868004621,Low Risk
61,32357,40,997,117658,671,3,0,12123,318656,Debt Consolidation,Owned,2,0.3746523270906731,9.84782743061994,0.3697385499721862,0.3692308657898618,Low Risk
70,71587,40,3066,5540,776,3,0,107280,12300,Business,Mortgaged,2,1.4985751801977985,0.171816505559591,0.5139408839470302,0.4503698886269409,High Risk
41,111677,20,2516,18979,826,1,1,59066,480614,Debt Consolidation,Rented,0,0.5288955747774853,4.303569189992658,0.2703486810293881,0.03948898806737201,Medium Risk
20,137169,0,6305,3189,613,4,0,188272,45534,Home,Owned,0,1.372545017132026,0.33195305095866445,0.5515783334548371,0.07003403974964313,High Risk
18,124648,0,3062,10124,773,0,3,0,265422,Auto,Owned,0,0.0,2.1293552294843923,0.2947797415141718,0.038142888898098505,Medium Risk
30,97178,10,5029,4116,806,2,0,56630,280336,Debt Consolidation,Rented,2,0.5827390691404521,2.884738472303687,0.6209983638440404,0.014682328768589234,Medium Risk
58,97724,36,4642,711,305,1,0,30962,423732,Education,Mortgaged,4,0.3168278332054234,4.335963161933998,0.5700076745970837,0.0016779434219189914,High Risk
26,53359,8,1678,7755,418,0,0,0,281587,Debt Consolidation,Rented,3,0.0,5.277117691154423,0.37736131934032985,0.027540236089606093,Medium Risk
38,101329,20,6283,8426,847,5,1,236220,336141,Auto,Mortgaged,0,2.3311951051021413,3.3172900424356064,0.7440639494720221,0.025066787250626225,High Risk
57,13114,36,223,1402,781,2,1,91140,74310,Home,Rented,3,6.949294700724361,5.666031261913839,0.20404117422798324,0.018866655003969803,High Risk
33,62265,11,1823,10305,550,3,2,13299,104515,Education,Mortgaged,2,0.213583657212604,1.6785243953361384,0.351331384704333,0.09859734394733821,Medium Risk
65,55864,40,2603,13153,662,3,0,56025,38771,Business,Mortgaged,1,1.0028640472567798,0.6940123512037949,0.5591336257048242,0.33923965748478285,High Risk
45,76084,25,2820,9342,751,3,0,86877,242326,Business,Owned,1,1.1418413616350134,3.184937898403102,0.4447657225471512,0.03855121385565785,High Risk
55,22870,35,446,8473,710,2,0,88226,476753,Auto,Rented,1,3.857548861003017,20.84530628306589,0.23400813256962966,0.017772268297696507,High Risk
64,105944,40,2206,191554,486,1,3,58946,190294,Education,Rented,1,0.5563830289301053,1.7961583840672046,0.24986549624805324,1.0066160435113902,Fraud Suspected
54,145026,33,7842,5919,652,1,1,52372,445122,Home,Rented,3,0.36111896405496907,3.069235383756128,0.6488722789549533,0.01329744812108114,Low Risk
62,68923,40,2168,4078,556,0,2,0,78298,Home,Owned,0,0.0,1.1360048749347107,0.37745923045673496,0.052082402074100566,High Risk
35,59832,17,3096,3303,815,0,1,0,112430,Education,Mortgaged,1,0.0,1.8790633931108252,0.620928250296659,0.02937801851802439,Medium Risk
27,23362,8,1472,18460,768,0,0,0,400800,Debt Consolidation,Mortgaged,0,0.0,17.155331079056626,0.7560672858793819,0.046057769316942825,Low Risk
50,84115,32,2044,690,615,1,0,19124,309420,Education,Mortgaged,3,0.22735270340957725,3.6784916068286653,0.29159731798944316,0.0022299714628289612,Low Risk
39,57216,18,1930,509,716,0,0,0,146775,Debt Consolidation,Mortgaged,4,0.0,2.565234108743905,0.40477480469091354,0.00346786940644247,Low Risk
65,16886,40,428,97747,632,5,2,128660,336562,Business,Owned,4,7.618878427192515,19.930242198140583,0.3041392787351217,0.2904270522903587,High Risk
59,127604,39,6090,18492,552,1,1,34734,285956,Auto,Rented,3,0.27219936522863525,2.2409466713686768,0.5727048313153873,0.06466706532800386,Medium Risk
53,100941,33,4815,68700,418,0,1,0,279895,Education,Owned,1,0.0,2.7728299419468607,0.5724079174179232,0.24544830937205248,High Risk
37,87864,17,3134,6957,524,2,1,99206,264785,Debt Consolidation,Mortgaged,0,1.129073009730837,3.013543504239458,0.4280202583508792,0.026274047721556275,Fraud Suspected
40,46136,18,1411,7928,602,3,0,50010,89553,Home,Mortgaged,0,1.083945640158658,1.9410234735678522,0.36699395279276936,0.08852759229068495,High Risk
44,216751,23,8246,23254,317,2,0,56026,356333,Business,Rented,1,0.25847973721119066,1.6439663763194803,0.45652173913043476,0.06525899857998395,Medium Risk
68,56282,40,2462,3392,491,3,0,96795,256188,Home,Owned,3,1.7197910559138638,4.55178295400032,0.5249187143542455,0.013240224990143995,Fraud Suspected
23,26327,4,1749,8643,808,4,2,189588,331882,Personal,Rented,4,7.201002734731085,12.605666970525677,0.7971741112123975,0.02604231009120684,High Risk
30,49266,10,2149,4373,718,3,1,146163,446859,Home,Owned,4,2.966752593013579,9.07014837518014,0.5234335356323706,0.009786062748959405,High Risk
50,37803,28,1491,6935,400,2,0,116752,156950,Auto,Rented,3,3.0883504391069727,4.151677071209396,0.4732832504496879,0.04418576498397589,Fraud Suspected
71,38712,40,688,20441,347,2,1,84914,82773,Education,Mortgaged,0,2.19342339782502,2.1381189781210446,0.2132616950378426,0.2469495252132312,Fraud Suspected
45,80816,25,3089,33879,584,2,1,8726,95007,Home,Owned,0,0.10797233255379438,1.175581870151082,0.458665874754074,0.3565910239137757,Medium Risk
19,26607,0,1576,12720,384,2,0,81818,40594,Debt Consolidation,Owned,2,3.07493986770896,1.525631389055923,0.7107636800962117,0.3133390811676315,Fraud Suspected
62,111451,40,6070,2028,677,3,0,6153,173503,Education,Mortgaged,2,0.05520762301259735,1.556750888274773,0.6535548935864767,0.011688491331611952,Low Risk
29,39004,7,2263,5419,832,3,0,63414,355571,Home,Owned,1,1.6257915651839507,9.116036405589027,0.6962184335341622,0.015240232639240434,High Risk
68,30414,40,1001,75111,578,2,1,35634,346854,Debt Consolidation,Rented,4,1.1715929639980274,11.404044057208614,0.3949367088607595,0.216548701907137,Fraud Suspected
29,78255,11,3559,622,719,1,0,30618,425560,Debt Consolidation,Rented,3,0.39125434471478227,5.438049478634226,0.5457472909425476,0.0014616000996331901,Low Risk
47,38171,27,961,6323,424,1,2,14107,34956,Debt Consolidation,Mortgaged,3,0.3695640783820601,0.9157497642250865,0.30210625589437284,0.1808793660783248,High Risk
49,21182,28,592,740,701,2,1,72092,27465,Debt Consolidation,Mortgaged,3,3.403295095123448,1.2965585611103243,0.3353632629939102,0.026942401514599867,High Risk
67,110254,40,3946,14265,613,3,2,46755,65931,Business,Rented,2,0.4240624007981497,0.5979864858736565,0.42947712121899234,0.21635927925741674,Medium Risk
59,293425,39,13187,2481,552,1,0,7830,419056,Debt Consolidation,Mortgaged,4,0.026684751862479806,1.4281488347999154,0.539297812736431,0.005920435644792952,Medium Risk
51,63624,31,2017,1888,835,3,0,35640,426601,Debt Consolidation,Owned,3,0.5601571709233791,6.704927308447937,0.38041650294695484,0.004425670765725431,Medium Risk
30,82256,8,4161,12523,791,0,0,0,209815,Debt Consolidation,Rented,4,0.0,2.5507251662472497,0.6070243261971625,0.05968562931330308,Low Risk
31,49829,13,1102,1442,614,3,2,118386,66067,Home,Mortgaged,1,2.3757977122215532,1.3258478828015252,0.26538229981938594,0.021825997457165344,High Risk
30,81773,9,3185,3135,549,3,1,43392,452577,Personal,Rented,3,0.5306332085993103,5.534485288722577,0.46738572162300973,0.006926982752144381,High Risk
53,65927,33,4240,39604,613,3,1,52890,152998,Home,Mortgaged,0,0.8022388059701493,2.3206831695182624,0.7717510010921005,0.25885136504160156,High Risk
42,42771,20,2008,36165,644,3,0,134688,371074,Business,Rented,3,3.1489759655849623,8.675628916113345,0.5633592069578228,0.09746008219362663,High Risk
58,183382,37,8509,69515,705,1,0,37676,471882,Education,Rented,0,0.2054497963279039,2.573204713632125,0.5568018845803592,0.14731405878151999,Low Risk
27,68849,8,2121,62803,755,1,1,51672,204749,Personal,Owned,0,0.7505010893246188,2.973841684822077,0.3696732026143791,0.30673015873015874,High Risk
68,101279,40,2218,1057,694,2,0,88722,478681,Education,Mortgaged,3,0.8760071090047393,4.726313191153238,0.2627962085308057,0.002208146535695932,High Risk
58,72072,39,3517,37600,459,3,1,66396,11238,Education,Owned,0,0.9212326391297712,0.1559252424625033,0.5855729607481304,3.345493371296379,Fraud Suspected
29,48156,11,1762,11864,456,0,0,0,249703,Education,Rented,4,0.0,5.18518595427456,0.43906389517619454,0.04751225450933906,Medium Risk
18,53606,0,3442,2417,371,2,2,59292,299925,Education,Mortgaged,1,1.1060495830768369,5.594884996362415,0.7704963903967765,0.008058654468102132,Fraud Suspected
41,150057,22,3140,8433,400,0,0,0,297065,Business,Rented,3,0.0,1.9796678617601193,0.25110290687600795,0.02838763103148795,Medium Risk
29,54534,7,2369,129355,705,4,0,187160,330442,Education,Owned,4,3.431924452186669,6.059264692399377,0.5212799119831301,0.39145934397157756,High Risk
53,78572,35,3739,6267,521,1,1,59869,287610,Home,Rented,1,0.7619538518320542,3.6604177007368945,0.5710358520102325,0.021789848093431752,Fraud Suspected
68,79211,40,4049,46729,552,5,0,199710,317855,Education,Rented,3,2.521208907741251,4.012712720294905,0.6133919103166187,0.1470131128561361,High Risk
66,99626,40,5694,2199,325,5,0,94135,246875,Education,Rented,0,0.9448743814427816,2.4779929135676073,0.6858381763979644,0.00890730569192631,Fraud Suspected
56,88794,36,3279,2608,727,1,0,25881,339157,Auto,Rented,0,0.2914691142519286,3.819550650374458,0.44313305929387914,0.00768963138124414,Low Risk
66,28567,40,1078,19371,568,4,0,111520,52069,Home,Mortgaged,4,3.9036684402128254,1.8226337160459256,0.4528143377205265,0.3720184367198003,High Risk
20,122784,1,5731,9375,312,2,0,71384,68622,Debt Consolidation,Rented,0,0.581373946328949,0.558879341939162,0.5601009895345522,0.1366160033807907,High Risk
60,104059,39,2559,8191,778,2,1,30400,401915,Business,Rented,4,0.29213915049010186,3.862339035172016,0.2950989813569095,0.020379880373013266,Low Risk
37,28423,18,1421,18740,467,4,2,145608,27400,Personal,Owned,3,5.122713200112581,0.9639741063889671,0.5999155643118491,0.6839166453779059,Fraud Suspected
36,78622,14,2499,7581,418,3,1,83472,211000,Personal,Rented,4,1.061674064841077,2.6836930669142616,0.38141510753850655,0.035928739674219556,Fraud Suspected
58,32965,37,684,2499,446,2,0,78850,315519,Home,Rented,1,2.391858278226051,9.571042892677303,0.24898380149244675,0.007920258620689655,Fraud Suspected
45,63935,27,1547,7652,372,2,0,74268,256676,Auto,Mortgaged,3,1.1615990990990992,4.014577077077077,0.29035285285285284,0.029811786798193837,Fraud Suspected
53,89777,34,4520,11303,677,6,1,261618,455414,Personal,Mortgaged,1,2.9140546681815143,5.072668136960057,0.6041569204036623,0.024819121021485896,High Risk
63,68818,40,3115,14474,390,1,1,3512,359648,Debt Consolidation,Owned,4,0.05103241837283309,5.225998634098142,0.5431639518156323,0.040244794229929735,High Risk
71,108962,40,2771,11115,442,6,0,183690,55212,Education,Owned,3,1.6858016023787892,0.5067041105696429,0.30516780925635306,0.20131128538568815,Fraud Suspected
47,61608,25,1299,4850,733,3,2,16779,117080,Auto,Mortgaged,4,0.2723465727409956,1.9003716989400898,0.25301498157736696,0.04142431308239595,Medium Risk
39,83226,21,5152,894,687,2,0,7310,482846,Home,Mortgaged,0,0.08783207372607447,5.801554783904262,0.7428358585555168,0.0018515181827783956,Low Risk
59,32415,40,1764,10371,302,3,0,70683,417636,Business,Owned,3,2.180497285291214,12.883637709772952,0.6530108588351431,0.02483256991119082,Fraud Suspected
62,83940,40,1832,11757,439,3,1,109998,423266,Debt Consolidation,Owned,0,1.3104204143386426,5.042422654006981,0.2618982380481529,0.027776793371559794,Fraud Suspected
54,54225,33,3552,3159,428,3,0,124725,17952,Home,Rented,0,2.300095894958138,0.33105890163390256,0.7860435953232766,0.17595944967414917,Fraud Suspected
51,193287,30,3725,13223,379,2,0,29562,24636,Personal,Rented,2,0.15294275899176357,0.1274574727867224,0.23126112329787674,0.5367130738320413,Medium Risk
63,279847,40,7567,28009,533,2,1,40886,125411,Auto,Rented,4,0.14610074040193247,0.44813970441096596,0.32447614419256166,0.22333588492329282,Medium Risk
47,108283,25,3705,7321,530,1,1,31773,326119,Education,Rented,0,0.2934228510213882,3.0117007129400464,0.4105869749916885,0.022448791855758616,Medium Risk
49,91993,27,5283,4964,767,3,2,90120,304221,Education,Owned,4,0.9796291062460595,3.3069656716742397,0.6891318999065157,0.01631703164136716,High Risk
29,22436,9,1448,89343,345,6,1,266664,89656,Auto,Mortgaged,0,11.88501136515577,3.9958996300753222,0.7744350849043989,0.9964977636994323,Fraud Suspected
48,111779,29,3145,115091,396,5,0,180860,435469,Business,Mortgaged,4,1.6179996421542315,3.8957684737877973,0.3376274825550188,0.2642914552093141,Fraud Suspected
29,50322,10,2666,1100,545,3,0,38067,402284,Personal,Mortgaged,0,0.7564533116070187,7.994038511217535,0.6357331637620969,0.0027343798550778678,Fraud Suspected
62,46909,40,1259,7884,561,3,0,14076,39747,Business,Owned,1,0.3000639522489874,0.8473033468343637,0.32206352590066084,0.19834960249572306,Medium Risk
54,61411,35,3203,20069,762,4,0,169688,204919,Debt Consolidation,Mortgaged,3,2.763108187324953,3.3367908552074512,0.6258711652445776,0.09793577981651376,High Risk
59,62522,40,2101,97326,690,2,1,58594,228849,Business,Owned,3,0.9371591254418374,3.66023703277194,0.40324360635286216,0.4252829364212366,High Risk
41,82288,20,1728,43308,449,6,2,83358,227357,Home,Rented,1,1.0129908007145547,2.7629087727399773,0.2519899379017852,0.19048373050431477,Fraud Suspected
72,95682,40,2938,272,820,1,0,43952,488306,Home,Mortgaged,4,0.4593501457939237,5.103372594922818,0.3684667077746308,0.0005570266246439228,Medium Risk
48,200529,29,8402,11550,453,3,1,60381,31013,Education,Mortgaged,0,0.3011070662743729,0.1546551638158879,0.502787612826011,0.3724124588895338,High Risk
45,156141,23,8701,33268,705,1,1,57052,383124,Personal,Rented,0,0.36538535435693154,2.4536895902447773,0.6686990047520847,0.08683327895595433,Low Risk
55,211315,33,10275,101,610,4,0,33352,490736,Education,Rented,2,0.15782997974597285,2.3222851085577996,0.5834863427284257,0.00020581288959259237,Low Risk
41,60286,21,3496,7744,659,3,0,57660,219942,Education,Owned,3,0.9564250999386269,3.6482492079552804,0.6958714150646076,0.03520912236352146,High Risk
60,13616,40,642,1681,733,0,0,0,370096,Home,Rented,2,0.0,27.17896746713667,0.5657633840052875,0.004542052488942088,Low Risk
45,21389,27,461,8529,735,0,1,0,362635,Debt Consolidation,Rented,1,0.0,16.953482935951378,0.25862552594670407,0.02351945201248635,Low Risk
55,27600,36,622,3765,667,1,0,28894,82426,Education,Mortgaged,3,1.0468461287634505,2.986341074598746,0.2704249846020072,0.04567678066652917,High Risk
50,111621,31,5983,132,565,1,1,44942,124504,Business,Mortgaged,1,0.40262672233072333,1.1154073569726397,0.6432065363458817,0.0010601983856070038,High Risk
21,53050,0,2813,1087,433,3,0,109707,7896,Personal,Mortgaged,2,2.0679534787280165,0.14883791068971367,0.636293378070159,0.13764720780043055,Fraud Suspected
25,44855,7,1059,1713,308,1,1,35021,9452,Personal,Owned,2,0.7807428214731585,0.2107187444266096,0.28330658105939005,0.18121231355125356,Fraud Suspected
46,44196,28,1051,598,813,3,0,55188,329164,Business,Owned,0,1.2486820372423468,7.447654818200331,0.28535873475575263,0.001816718059331946,High Risk
63,274778,40,16433,13054,738,3,0,144540,22765,Education,Owned,4,0.5260227309947266,0.08284839816725441,0.7176530957605931,0.5733989282263023,Medium Risk
59,46653,39,2990,157915,701,4,0,94236,111347,Debt Consolidation,Rented,3,2.019891113302182,2.3866549492004974,0.7690658893128135,1.4182113733520134,High Risk
23,126963,1,3970,152597,562,4,3,172360,485913,Debt Consolidation,Rented,2,1.3575501717022147,3.827171481679846,0.37522447307898305,0.3140411677786604,Fraud Suspected
63,63853,40,2659,8550,379,3,0,170292,464004,Business,Rented,0,2.666896357315125,7.266639521408212,0.4997024462054061,0.018426525576233015,Fraud Suspected
57,104278,39,2864,2708,663,2,1,34156,191596,Business,Rented,3,0.3275443761447655,1.8373402123150395,0.3295773837493647,0.014133832993209706,Medium Risk
73,85319,40,4181,18165,800,2,0,63220,226072,Personal,Mortgaged,1,0.7409751523675574,2.649695264885138,0.5880450070323489,0.0803501523844068,High Risk
74,113947,40,2641,31025,559,2,0,57092,464141,Personal,Mortgaged,2,0.5010355600800365,4.0732702636290234,0.27812686488573735,0.06684376764007567,High Risk
74,55728,40,1603,24230,349,3,1,85821,177710,Auto,Mortgaged,0,1.5399702129950295,3.1888244899424,0.34517037807963535,0.13634496457731934,Fraud Suspected
66,142763,40,5053,715,773,2,0,39364,185478,Home,Rented,0,0.27572777450897984,1.2991930738841724,0.4247289232579642,0.0038548838412973976,Low Risk
32,76843,14,2623,35812,524,1,1,52498,496942,Education,Owned,4,0.6831763052417885,6.466893966998074,0.40960907813232,0.07206460298263584,High Risk
52,165291,32,5798,5514,541,2,0,72454,383805,Auto,Mortgaged,1,0.4383394235655688,2.321981705103695,0.42092781259831086,0.014366633142785678,High Risk
53,49364,34,2249,23202,836,2,0,30006,202176,Debt Consolidation,Rented,0,0.6078395624430264,4.095533272561531,0.546703129747797,0.11476082838305049,Medium Risk
70,41030,40,829,3520,332,1,0,40458,127730,Education,Owned,0,0.9860349491847628,3.1130121127927666,0.2424508298603495,0.027557914680069833,Fraud Suspected
50,298494,31,15463,13162,419,2,0,56472,488614,Business,Mortgaged,0,0.18918909864486844,1.636925241628838,0.6216385534096048,0.0269373637731138,Medium Risk
58,44233,39,2002,5739,562,0,0,0,175324,Personal,Owned,1,0.0,3.963557444499706,0.5431116335850251,0.03273349493797234,Medium Risk
45,46763,26,830,3271,537,0,1,0,420532,Home,Owned,1,0.0,8.992643914121974,0.21298434693353863,0.007778224301065553,High Risk
18,99227,0,4450,2272,763,4,0,49916,471858,Home,Owned,1,0.5030434957874793,4.755290845325916,0.5381545531503205,0.004814997700584285,High Risk
32,50088,14,886,1722,732,1,1,5664,203162,Business,Mortgaged,0,0.11307871987861606,4.056020283894667,0.21226217333147,0.008475952806367301,Medium Risk
59,33803,38,1068,27702,496,1,0,15826,312151,Business,Owned,3,0.46816944740267424,9.234143888297243,0.37912673056443025,0.08874522668443578,High Risk
50,76372,32,1560,118864,397,0,0,0,206468,Auto,Owned,2,0.0,2.7034161287365954,0.24511280164456026,0.5756990153485512,Medium Risk
74,82312,40,3162,106492,842,2,1,39964,45777,Auto,Mortgaged,4,0.4855126164761338,0.5561332960771689,0.46097214291788663,2.3262702608239767,Medium Risk
54,86692,35,4450,30951,685,3,0,85332,81092,Auto,Rented,3,0.9843009239500305,0.935392707600383,0.6159666870450902,0.38167289408456956,High Risk
45,164871,24,10311,3376,406,2,0,70622,129755,Debt Consolidation,Owned,0,0.42834441263525647,0.7870044640690961,0.7504730942791984,0.026018064675236596,Fraud Suspected
35,61152,13,3202,3032,488,1,1,28469,384577,Home,Mortgaged,3,0.46553725900609944,6.288767517537979,0.6283256749464458,0.007883966321526452,Fraud Suspected
31,41943,13,1828,5703,526,1,1,53416,267148,Business,Mortgaged,2,1.2735075338546633,6.369158878504673,0.5229830249856953,0.02134763746074288,Fraud Suspected
66,58635,40,1198,2050,376,4,1,128424,297186,Debt Consolidation,Mortgaged,1,2.190190326761716,5.068319803533665,0.2451736134797735,0.0068980137085404136,Fraud Suspected
73,72546,40,4228,44336,547,3,1,170592,164712,Home,Owned,1,2.3514687030476793,2.2704177981170828,0.699353522544006,0.2691712251006296,Fraud Suspected
43,40751,22,1418,8366,551,1,2,44710,497369,Debt Consolidation,Owned,1,1.097124067530428,12.20477522575579,0.4175500588928151,0.016820475702193537,Fraud Suspected
68,44365,40,1772,6974,536,1,0,8417,57336,Education,Mortgaged,1,0.18971735112473515,1.2923409818329352,0.47928593968354144,0.12163175610862097,Medium Risk
28,116956,6,5066,45117,578,3,0,39201,411714,Business,Rented,4,0.33517446582932187,3.520216831827082,0.5197807741306634,0.10958308538673597,Medium Risk
49,63906,27,3759,593,554,1,0,23538,445190,Debt Consolidation,Owned,4,0.36831645985572786,6.966216533400097,0.7058381710923686,0.0013320125519159193,Medium Risk
44,96882,24,5913,2754,691,1,0,41727,374576,Home,Owned,0,0.4306947555298659,3.8662716885315276,0.7323885511390027,0.007352293386940469,Medium Risk
73,169707,40,9267,8843,547,5,2,86685,311078,Home,Mortgaged,2,0.5107891201357626,1.8330190680462912,0.6552666933792161,0.02842686262975,High Risk
40,15708,20,283,2047,711,2,0,18956,432454,Debt Consolidation,Mortgaged,3,1.2066967980138774,27.529059774651472,0.21618180660767713,0.004733440473575285,High Risk
28,68149,6,3435,9700,458,1,1,11752,223298,Personal,Owned,2,0.17244314013206163,3.2765663976522377,0.6048422597212032,0.04343951383570907,High Risk
62,85095,40,3040,43444,800,3,2,164961,236710,Home,Rented,3,1.9385282504465544,2.781681865187553,0.4286923004606562,0.18353181727929838,High Risk
51,76708,33,4467,25667,601,2,0,23124,229416,Home,Rented,0,0.3014509379603436,2.990731204943357,0.6987967513590322,0.11187924173012462,Low Risk
70,180223,40,4704,9360,357,2,2,66090,422875,Education,Mortgaged,2,0.36671031605113635,2.3463856090198862,0.3132102272727273,0.02213414807177518,High Risk
68,21352,40,741,47340,743,3,0,153792,90908,Business,Rented,4,7.202360324076242,4.257387720694984,0.4164286048798764,0.5207405207405208,High Risk
56,81977,34,2550,746,673,2,1,84536,252116,Debt Consolidation,Owned,1,1.0312034936202397,3.0754104759813607,0.3732708775525141,0.002958943665044404,High Risk
74,36294,40,2031,148,451,2,1,80114,236557,Debt Consolidation,Owned,0,2.207301281168205,6.517619506819121,0.6714974514395923,0.0006256393780806398,Fraud Suspected
36,31781,15,2059,7135,394,1,0,41965,14452,Auto,Mortgaged,4,1.320401485117362,0.4547227990686552,0.7774211818010195,0.4936691344357573,Fraud Suspected
31,42914,10,1309,29770,378,2,3,19876,307343,Auto,Rented,0,0.4631480834207154,7.161668414307352,0.36602586508213913,0.09686214795148107,Fraud Suspected
45,74661,27,3116,23781,824,2,0,75684,222062,Home,Mortgaged,1,1.01368835552222,2.9742305322654095,0.5008170153491736,0.10709123086691615,High Risk
20,125104,0,4878,6040,524,4,1,198184,444506,Education,Rented,1,1.5841413212901163,3.553063426721554,0.4678949682266896,0.013588087476687657,Fraud Suspected
57,67585,37,2588,44920,449,3,0,54822,89613,Education,Rented,2,0.8111443198295505,1.3259106915633416,0.45950344745953303,0.5012609636887093,Fraud Suspected
52,80227,31,2485,6806,473,1,2,6031,318276,Business,Owned,3,0.07517325621977365,3.967143640624221,0.37169068155756096,0.021383888876670323,High Risk
21,235570,2,15422,7997,838,2,1,87884,364544,Debt Consolidation,Owned,1,0.37306799224013143,1.547490989977544,0.7855975480852906,0.021936935083460205,Fraud Suspected
33,95872,13,3883,6947,677,4,0,236712,380111,Education,Mortgaged,4,2.4690163028172685,3.9647345968103638,0.48601796126125185,0.018276192280170054,High Risk
48,132511,29,7691,4719,499,2,1,82372,128822,Personal,Rented,1,0.6216191741125332,0.9721534653465347,0.6964803187635836,0.036631657390372836,Fraud Suspected
47,67417,26,2829,23801,619,3,0,64683,46368,Education,Rented,0,0.9594321991159631,0.6877688451155478,0.5035450473167403,0.5132955207142703,High Risk
28,31135,7,527,1138,817,2,1,10624,471616,Education,Rented,2,0.34121274409044194,15.146968139773895,0.20310894141829394,0.0024129749351698517,Medium Risk
52,107840,30,2234,5623,640,1,0,36285,311212,Auto,Owned,1,0.33646757726653126,2.885841192125444,0.24858819929340417,0.018068011297728566,Low Risk
44,80962,22,5110,150120,369,3,1,32817,280723,Debt Consolidation,Rented,0,0.4053333003964774,3.4672998777219224,0.7573830021120759,0.5347601202604694,High Risk
24,26778,3,991,9208,320,2,0,59508,269472,Business,Owned,2,2.2221890287165316,10.06281041114306,0.44407931588184774,0.034170399260779374,Fraud Suspected
51,118640,32,6166,8697,737,2,0,50654,226977,Personal,Rented,1,0.4269518968990484,1.9131413255114167,0.6236629832857107,0.03831648882270528,Medium Risk
29,85123,9,2014,7724,531,1,1,57736,375002,Home,Rented,4,0.67825760067666,4.4053615901508385,0.28391522954748366,0.020597168555984886,High Risk
48,47629,29,2777,1299,826,1,0,45737,341562,Education,Owned,0,0.9602561410875499,7.171152634893974,0.699643082091119,0.0038031051372660386,High Risk
24,36373,6,1741,85114,747,0,0,0,15160,Auto,Mortgaged,0,0.0,0.4167812173530544,0.5743663056029031,5.614009629971638,Low Risk
33,69309,12,3921,5156,351,3,1,48285,434100,Home,Owned,1,0.696652719665272,6.263165488385514,0.6788630789207907,0.011877420231697232,High Risk
49,88826,28,3084,10419,717,1,0,44229,263408,Auto,Owned,0,0.4979229288392043,2.9654046629966113,0.4166300786922895,0.03955445713699988,Medium Risk
